Matching.Attribute;Ensembl;Ensembl-mapping-by-Label-as-HGNC;Ensembl-mapping-by-name-as-entrez;cl1.Status;entrez gene/locuslink;biogrid;Label;ncbi_gene_id;name;shared name
[ENSG00000124882];ENSG00000124882;;ENSG00000124882;Outlier;[2069, ER, EREG];[108381];EREG;2069;ENSP00000244869;"2069;ENSP00000244869"
[ENSG00000101224];ENSG00000101224;;ENSG00000101224;Outlier;[994, RP5-1009E24.3, CDC25B];[107429];RP5-1009E24.3;994;994;"994;ENSP00000245960"
[ENSG00000127191];ENSG00000127191;;ENSG00000127191;Outlier;[7186, TRAP3, MGC:45012, TRAF2, TRAP];[113038];TRAP3;7186;7186;"7186;ENSP00000247668"
[ENSG00000157873];ENSG00000157873;;ENSG00000157873;Outlier;[RP3-395M20.6, HVEM, CD270, TR2, 8764, HVEA, TNFRSF14, ATAR, LIGHTR];[114298];TNFRSF14;8764;ENSP00000347948;"8764;ENSP00000347948"
[ENSG00000127445];ENSG00000127445;ENSG00000198258;ENSG00000127445;"Cluster;Outlier";[UBL5, 5300, DOD, PIN1];[111317];PIN1;5300;ENSP00000247970;ENSP00000247970
[ENSG00000106211];ENSG00000106211;;ENSG00000106211;Outlier;[HEL-S-102, 3315, HMN2B, Hsp25, HS.76067, HSP28, HSP27, HSPB1, CMT2F, SRP27];[109547];HSPB1;3315;ENSP00000248553;"3315;ENSP00000248553"
[ENSG00000127947];ENSG00000127947;;ENSG00000127947;Outlier;[tcag7.1075, 5782, PTPG1, PTPN12, PTP-PEST];[111746];tcag7.1075;5782;5782;"5782;ENSP00000248594"
[ENSG00000128342];ENSG00000128342;;ENSG00000128342;Outlier;[HILDA, CDF, LIF, 3976, DIA, MLPLI];[110164];HILDA;3976;3976;"3976;ENSP00000249075"
[ENSG00000134352];ENSG00000134352;;ENSG00000134352;Outlier;[CD130, CDW130, GP130, 3572, IL-6RB, IL6ST];[109786];CD130;3572;3572;"3572;ENSP00000338799"
[ENSG00000129152];ENSG00000129152;;ENSG00000129152;Outlier;[MYOD, bHLHc1, MYOD1, 4654, PUM, MYF3];[110737];MYOD;4654;4654;"4654;ENSP00000250003"
[ENSG00000130222];ENSG00000130222;;ENSG00000130222;"Cluster;Outlier";[10912, GADD45gamma, GRP17, CR6, DDIT2, RP11-260L6.1, GADD45G];[116117];GADD45gamma;10912;10912;10912
[ENSG00000130522];ENSG00000130522;ENSG00000130522;ENSG00000130522;"Cluster;Outlier";[3727, JUND, AP-1];[109930];JUND;3727;3727;3727
[ENSG00000131981];ENSG00000131981;;ENSG00000131981;Outlier;[GAL3, MAC2, 3958, LGALS3, LGALS2, GALBP, GALIG, L31, CBP35];[110149];LGALS3;3958;ENSP00000254301;"3958;ENSP00000254301"
[ENSG00000132383];ENSG00000132383;;ENSG00000132383;Outlier;[RP-A, RPA70, 6117, RPA1, REPA1, HSSB, MST075, RF-A];[112037];RPA1;6117;ENSP00000254719;"6117;ENSP00000254719"
[ENSG00000133639];ENSG00000133639;ENSG00000133639;ENSG00000133639;"Cluster;Outlier";[694, BTG1];[107159];BTG1;694;ENSP00000256015;ENSP00000256015
[ENSG00000126457];ENSG00000126457;;ENSG00000126457;"Cluster;Outlier";[IR1B4, HRMT1L2, PRMT1, 3276, HCP1, ANM1];[109512];PRMT1;3276;ENSP00000406162;ENSP00000406162
[ENSG00000198791];ENSG00000198791;;ENSG00000198791;"Cluster;Outlier";[hCAF-1, CNOT7, Caf1a, CAF1, 29883];[118938];hCAF-1;29883;29883;29883
[ENSG00000155508];ENSG00000155508;;ENSG00000155508;"Cluster;Outlier";[9337, Caf1b, POP2, CALIF, CAF1, hCAF1, CNOT8];[114744];Caf1b;9337;9337;9337
[ENSG00000167670];ENSG00000167670;;ENSG00000167670;Outlier;[CAF-1, CHAF1A, CAF1, CAF1B, P150, CAF1P150, 10036];[115349];CHAF1A;10036;ENSP00000301280;"10036;ENSP00000301280"
[ENSG00000147082];ENSG00000147082;ENSG00000147082;ENSG00000147082;Outlier;[CCNB3, RP11-805H4.3, 85417];[124523];CCNB3;85417;85417;"85417;ENSP00000276014"
[ENSG00000166483];ENSG00000166483;ENSG00000166483;ENSG00000166483;Outlier;[WEE1, 7465, WEE1hu, WEE1A];[113303];WEE1;7465;7465;"7465;ENSP00000402084"
[ENSG00000150907];ENSG00000150907;;ENSG00000150907;"Cluster;Outlier";[FOXO1A, 2308, FOXO1, FKH1, FKHR];[108597];FOXO1;2308;ENSP00000368880;ENSP00000368880
[ENSG00000115947];ENSG00000115947;ENSG00000115947;ENSG00000115947;Outlier;[ORC4, 5000, ORC4P, ORC4L];[111042];ORC4;5000;5000;"5000;ENSP00000264169"
[ENSG00000185591];ENSG00000185591;ENSG00000185591;ENSG00000185591;"Outlier;Overlap";[SP1, 6667];[112550];SP1;6667;6667;6667
[ENSG00000183765];ENSG00000183765;ENSG00000163624;ENSG00000183765;Outlier;[CDS1, HuCds1, RAD53, CHK2, PP1425, CHEK2, LFS2, 11200, RP11-436C9.1, hCds1];[116369];CHEK2;11200;ENSP00000372023;"11200;ENSP00000372023"
[ENSG00000094880];ENSG00000094880;ENSG00000094880;ENSG00000094880;Outlier;[CDC23, ANAPC8, 8697, APC8, CUT23];[114242];CDC23;8697;8697;"8697;ENSP00000378350"
[ENSG00000185920];ENSG00000185920;;ENSG00000185920;Outlier;[RP11-435O5.3, NBCCS, PTCH1, PTC1, BCNS, HPE7, PTCH11, PTCH, PTC, 5727];[111699];RP11-435O5.3;5727;5727;"5727;ENSP00000332353"
